feature_count,trial,objective,macro_pr_auc,worst_dataset_pr_auc,constraints_met,params
40,23,0.7784822498181749,0.659548502547317,0.5946687363542895,False,"{""colsample_bytree"": 0.6456458369226934, ""learning_rate"": 0.025184459877699957, ""max_depth"": 4, ""min_child_samples"": 135, ""num_leaves"": 21, ""reg_alpha"": 0.062309127821244197, ""reg_lambda"": 0.007053489759652138, ""subsample"": 0.8464366116605008}"
40,24,0.7538691128159436,0.6415794159061124,0.561448484549156,False,"{""colsample_bytree"": 0.6826604346852669, ""learning_rate"": 0.01961603934511218, ""max_depth"": 5, ""min_child_samples"": 68, ""num_leaves"": 26, ""reg_alpha"": 0.005432649236224954, ""reg_lambda"": 0.12102885027313534, ""subsample"": 0.9749755048675345}"
65,0,0.7888894384734264,0.6656183099016797,0.6163556428587333,False,"{""colsample_bytree"": 0.662397808134481, ""learning_rate"": 0.028078987855609694, ""max_depth"": 6, ""min_child_samples"": 124, ""num_leaves"": 30, ""reg_alpha"": 0.001592075878523403, ""reg_lambda"": 1.599409170128044, ""subsample"": 0.7046065241548528}"
65,1,0.7708955918446017,0.6494559837569726,0.6071980404381455,False,"{""colsample_bytree"": 0.6849356442713105, ""learning_rate"": 0.041029961356831984, ""max_depth"": 3, ""min_child_samples"": 176, ""num_leaves"": 24, ""reg_alpha"": 0.004287730278993503, ""reg_lambda"": 0.004768785415482609, ""subsample"": 0.9413549242801476}"
65,2,0.7663818130721842,0.649393168285731,0.584943223932266,False,"{""colsample_bytree"": 0.6557975442608167, ""learning_rate"": 0.02496174732136705, ""max_depth"": 5, ""min_child_samples"": 81, ""num_leaves"": 20, ""reg_alpha"": 0.01037104137505588, ""reg_lambda"": 0.022654864504851786, ""subsample"": 0.8641485131528328}"
65,3,0.7657968883688719,0.648227407774267,0.5878474029730243,False,"{""colsample_bytree"": 0.6185801650879991, ""learning_rate"": 0.03218500325829219, ""max_depth"": 3, ""min_child_samples"": 112, ""num_leaves"": 26, ""reg_alpha"": 0.12957079329680446, ""reg_lambda"": 0.0042733023193754, ""subsample"": 0.8573450991017149}"
65,4,0.753790491101178,0.6398837637518225,0.5695336367467775,False,"{""colsample_bytree"": 0.6390688456025535, ""learning_rate"": 0.016725676183869564, ""max_depth"": 7, ""min_child_samples"": 153, ""num_leaves"": 30, ""reg_alpha"": 0.2394204262539026, ""reg_lambda"": 0.042472797953697176, ""subsample"": 0.7566148192106797}"
65,5,0.7496178387458279,0.6347296311479129,0.5744410379895746,False,"{""colsample_bytree"": 0.8650089137415928, ""learning_rate"": 0.018399791448444815, ""max_depth"": 3, ""min_child_samples"": 168, ""num_leaves"": 19, ""reg_alpha"": 0.01212989965042508, ""reg_lambda"": 0.08389112347840598, ""subsample"": 0.7405729935600059}"
65,6,0.725771561964611,0.6221858714062448,0.5179284527918311,False,"{""colsample_bytree"": 0.9579309401710595, ""learning_rate"": 0.037458375308811985, ""max_depth"": 7, ""min_child_samples"": 149, ""num_leaves"": 11, ""reg_alpha"": 0.1199418448486867, ""reg_lambda"": 2.570307853015558, ""subsample"": 0.9788246295474662}"
65,7,0.7447520358059042,0.6290301918564992,0.5786092197470247,False,"{""colsample_bytree"": 0.7085396127095583, ""learning_rate"": 0.017395030536618977, ""max_depth"": 3, ""min_child_samples"": 85, ""num_leaves"": 11, ""reg_alpha"": 0.7614139119869378, ""reg_lambda"": 0.020874681332882276, ""subsample"": 0.7860370513913187}"
65,8,0.7723362921562528,0.651993513148419,0.6017138950391685,False,"{""colsample_bytree"": 0.9947547746402069, ""learning_rate"": 0.024006579766130246, ""max_depth"": 3, ""min_child_samples"": 153, ""num_leaves"": 20, ""reg_alpha"": 0.48438278642785687, ""reg_lambda"": 0.005433045540798127, ""subsample"": 0.6760927252879199}"
65,9,0.7728555715712776,0.6491706623949685,0.6184245458815457,False,"{""colsample_bytree"": 0.6296178606936361, ""learning_rate"": 0.015139301260026163, ""max_depth"": 6, ""min_child_samples"": 142, ""num_leaves"": 27, ""reg_alpha"": 0.017637166053890756, ""reg_lambda"": 0.002682848665467022, ""subsample"": 0.919944621340081}"
65,10,0.7205490248886535,0.617911469781243,0.5131877755370524,False,"{""colsample_bytree"": 0.775232370984732, ""learning_rate"": 0.06712949701780109, ""max_depth"": 5, ""min_child_samples"": 42, ""num_leaves"": 7, ""reg_alpha"": 0.001128907475025886, ""reg_lambda"": 4.080488982791148, ""subsample"": 0.6553787080648366}"
65,11,0.8090256798591806,0.679779330862487,0.6462317449834682,False,"{""colsample_bytree"": 0.7580270214839643, ""learning_rate"": 0.05569151044203351, ""max_depth"": 6, ""min_child_samples"": 123, ""num_leaves"": 31, ""reg_alpha"": 0.0015439406993251411, ""reg_lambda"": 0.3564824945611591, ""subsample"": 0.8968876965852753}"
65,12,0.8174196740590718,0.6859090736670136,0.6575530019602911,False,"{""colsample_bytree"": 0.7457769212953824, ""learning_rate"": 0.060786399324265224, ""max_depth"": 6, ""min_child_samples"": 117, ""num_leaves"": 31, ""reg_alpha"": 0.001188452003005583, ""reg_lambda"": 0.4183153573014298, ""subsample"": 0.8116496198753423}"
65,13,0.7845118575369676,0.6638500727829039,0.6033089237703188,False,"{""colsample_bytree"": 0.7826173426603851, ""learning_rate"": 0.06461250493369203, ""max_depth"": 6, ""min_child_samples"": 91, ""num_leaves"": 31, ""reg_alpha"": 2.9847253664885396, ""reg_lambda"": 0.36495754311080986, ""subsample"": 0.829978023110616}"
65,14,0.7838895034015878,0.6614543002316821,0.612176015849529,False,"{""colsample_bytree"": 0.8357433916544914, ""learning_rate"": 0.05094071255280339, ""max_depth"": 6, ""min_child_samples"": 122, ""num_leaves"": 24, ""reg_alpha"": 0.0030385687558382073, ""reg_lambda"": 0.39161528962925074, ""subsample"": 0.9054421903360954}"
65,15,0.7654174664711164,0.6469728584949935,0.5922230398806145,False,"{""colsample_bytree"": 0.7517849690242177, ""learning_rate"": 0.07987232898211512, ""max_depth"": 4, ""min_child_samples"": 63, ""num_leaves"": 27, ""reg_alpha"": 0.03417118889639948, ""reg_lambda"": 0.4256395057982411, ""subsample"": 0.8080571484973553}"
65,16,0.7572304198048245,0.6470746063898786,0.5507790670747296,False,"{""colsample_bytree"": 0.8796790846679844, ""learning_rate"": 0.05113488660408743, ""max_depth"": 5, ""min_child_samples"": 105, ""num_leaves"": 17, ""reg_alpha"": 0.0029109033046897702, ""reg_lambda"": 0.1350461752996732, ""subsample"": 0.9991641367070512}"
65,17,0.7704153239215945,0.6552054395113123,0.5760494220514114,False,"{""colsample_bytree"": 0.7264323197276161, ""learning_rate"": 0.048599335681022746, ""max_depth"": 7, ""min_child_samples"": 129, ""num_leaves"": 23, ""reg_alpha"": 0.005253894451957501, ""reg_lambda"": 0.8066566053906679, ""subsample"": 0.8800008565146463}"
65,18,0.7767161757654932,0.6551329779005154,0.6079159893248894,False,"{""colsample_bytree"": 0.8184050998797946, ""learning_rate"": 0.06147213345884089, ""max_depth"": 4, ""min_child_samples"": 102, ""num_leaves"": 29, ""reg_alpha"": 0.001337322765472411, ""reg_lambda"": 0.16302781767630486, ""subsample"": 0.8258712149040318}"
65,19,0.7481952925276466,0.6366198191227613,0.5578773670244263,False,"{""colsample_bytree"": 0.898455323922507, ""learning_rate"": 0.07978689277684459, ""max_depth"": 6, ""min_child_samples"": 132, ""num_leaves"": 15, ""reg_alpha"": 0.03143455065257809, ""reg_lambda"": 1.040783023826185, ""subsample"": 0.9443651081767761}"
65,20,0.7828345815976937,0.6600711569780572,0.6138171230981825,False,"{""colsample_bytree"": 0.7542416699305557, ""learning_rate"": 0.04504365490488241, ""max_depth"": 4, ""min_child_samples"": 68, ""num_leaves"": 28, ""reg_alpha"": 0.006610148775833249, ""reg_lambda"": 0.2188168927495171, ""subsample"": 0.7810188686888234}"
65,21,0.8066494641005849,0.6769039096572907,0.6487277722164706,False,"{""colsample_bytree"": 0.6844749426579951, ""learning_rate"": 0.032055450996201884, ""max_depth"": 6, ""min_child_samples"": 117, ""num_leaves"": 31, ""reg_alpha"": 0.001455467326268444, ""reg_lambda"": 1.617510689062879, ""subsample"": 0.7015414758833787}"
65,22,0.7887236115496497,0.665676159955239,0.6152372579720531,False,"{""colsample_bytree"": 0.7126190936207706, ""learning_rate"": 0.034161157548097426, ""max_depth"": 5, ""min_child_samples"": 116, ""num_leaves"": 31, ""reg_alpha"": 0.0021341764222778093, ""reg_lambda"": 0.8566102668185899, ""subsample"": 0.7174189884840662}"
65,23,0.7709427333241874,0.6468502022817976,0.6204626552119488,False,"{""colsample_bytree"": 0.6848658419697299, ""learning_rate"": 0.056986592525328436, ""max_depth"": 6, ""min_child_samples"": 94, ""num_leaves"": 25, ""reg_alpha"": 0.002022372220054398, ""reg_lambda"": 4.570750386592569, ""subsample"": 0.8959066533352673}"
65,24,0.7902084946160205,0.6669622306085,0.6162313200376023,False,"{""colsample_bytree"": 0.7997288382105523, ""learning_rate"": 0.041774466926823184, ""max_depth"": 7, ""min_child_samples"": 137, ""num_leaves"": 22, ""reg_alpha"": 0.005549560263634659, ""reg_lambda"": 1.7053811196173807, ""subsample"": 0.8544978702752306}"
