threshold,precision,recall,f1,fpr,pr_auc,roc_auc,tn,fp,fn,tp
0.088,0.503054494470435,0.9977299812723455,0.6688669285422154,0.9776520588814771,0.7502665190436053,0.7349163480225073,794,34735,80,35162
0.089,0.5031054122899912,0.9975597298677714,0.6688736681887367,0.977286160601199,0.7502665190436053,0.7349163480225073,807,34722,86,35156
0.09,0.5031490653001632,0.997417853697293,0.6688803470847923,0.9769765543640406,0.7502665190436053,0.7349163480225073,818,34711,91,35151
0.091,0.5031567193025154,0.9972759775268146,0.6688552044379741,0.9768076782346815,0.7502665190436053,0.7349163480225073,824,34705,96,35146
0.092,0.5031931040407801,0.9971624765904319,0.6688618195660451,0.9765543640406429,0.7502665190436053,0.7349163480225073,833,34696,100,35142
0.093,0.5032512174162131,0.9970206004199534,0.6688812320344178,0.9761884657603648,0.7502665190436053,0.7349163480225073,846,34683,105,35137
0.094,0.5033090763236305,0.9969638499517621,0.6689195621132794,0.9759070055447663,0.7502665190436053,0.7349163480225073,856,34673,107,35135
0.095,0.5033240679714589,0.996793598547188,0.6688944742754864,0.9756818373722874,0.7502665190436053,0.7349163480225073,864,34665,113,35129
0.096,0.5033249254758083,0.9965382214403269,0.6688377230569997,0.9754285231782488,0.7502665190436053,0.7349163480225073,873,34656,122,35120
0.097,0.5033688858306096,0.9963395948016571,0.6688317872721384,0.9750626248979707,0.7502665190436053,0.7349163480225073,886,34643,129,35113
0.098,0.5034704296449263,0.9961977186311787,0.6688894392897288,0.9745278504883335,0.7502665190436053,0.7349163480225073,905,34624,134,35108
0.099,0.5035216823743742,0.9959990919925089,0.6688898840433337,0.9741338061864956,0.7502665190436053,0.7349163480225073,919,34610,141,35101
0.1,0.5036016645142776,0.9958572158220306,0.6689284489002402,0.9736834698415379,0.7502665190436053,0.7349163480225073,935,34594,146,35096
0.101,0.5036237603869171,0.9957437148856478,0.6689223320402969,0.973486447690619,0.7502665190436053,0.7349163480225073,942,34587,150,35092
0.10200000000000001,0.5036032156187195,0.9954315873105953,0.6688337686602733,0.9732612795181401,0.7502665190436053,0.7349163480225073,950,34579,161,35081
0.10300000000000001,0.5036830693680628,0.9953464616083083,0.668884969252038,0.9728672352163021,0.7502665190436053,0.7349163480225073,964,34565,164,35078
0.10400000000000001,0.5037484919859827,0.9952613359060212,0.6689234290073424,0.9725294829575839,0.7502665190436053,0.7349163480225073,976,34553,167,35075
0.105,0.5037635026430706,0.9951194597355428,0.6689046138587423,0.972332460806665,0.7502665190436053,0.7349163480225073,983,34546,172,35070
0.106,0.503829408130128,0.9949208330968731,0.6689178232460533,0.9718821244617073,0.7502665190436053,0.7349163480225073,999,34530,179,35063
0.107,0.5039096188121658,0.9947789569263946,0.668956437117179,0.9714317881167497,0.7502665190436053,0.7349163480225073,1015,34514,184,35058
0.108,0.5039466306270038,0.9945803302877249,0.6689441290137889,0.9710940358580314,0.7502665190436053,0.7349163480225073,1027,34502,191,35051
0.109,0.5040558032503956,0.9944668293513421,0.6690146222273128,0.9705592614483942,0.7502665190436053,0.7349163480225073,1046,34483,195,35047
0.11,0.5040499518034155,0.994126326542194,0.6689324003093108,0.9702496552112359,0.7502665190436053,0.7349163480225073,1057,34472,207,35035
0.111,0.5040368424839894,0.9937858237330458,0.6688437556695026,0.9699681949956374,0.7502665190436053,0.7349163480225073,1067,34462,219,35023
0.112,0.5040882132780561,0.9936439475625674,0.6688568427084327,0.9696304427369191,0.7502665190436053,0.7349163480225073,1079,34450,224,35018
0.113,0.5041181891487155,0.993416945689802,0.6688317890916037,0.9692926904782009,0.7502665190436053,0.7349163480225073,1091,34438,232,35010
0.114,0.5041336598012387,0.9931899438170365,0.6687939468052584,0.9690112302626024,0.7502665190436053,0.7349163480225073,1101,34428,240,35002
0.115,0.5041497363188381,0.9928210657737926,0.6687244371392531,0.9685890399392046,0.7502665190436053,0.7349163480225073,1116,34413,253,34989
0.116,0.5041801199261993,0.9925089381987401,0.6686803418149839,0.9681668496158068,0.7502665190436053,0.7349163480225073,1131,34398,264,34978
0.117,0.504239610071237,0.9921968106236877,0.668661796764447,0.9676320752061696,0.7502665190436053,0.7349163480225073,1150,34379,275,34967
